local_bsz,num_nodes,num_replicas,step_time,sync_time
4,10,54,1.4744255153076775,1.0841835459586224
6,10,54,1.4812928384528155,1.079603563596803
8,10,54,1.4882239837633406,1.0750874034003708
4,10,58,1.566293837554044,1.176051868204989
6,10,58,1.573002476931294,1.1713132020752814
8,10,58,1.579774442556544,1.1666378621935742
4,10,62,1.658519942740742,1.268277973391687
6,10,62,1.6650817233936857,1.2633924485376733
8,10,62,1.6717062800938916,1.2585696997309217
4,10,66,1.7510562878079774,1.3608143184589223
6,10,66,1.7574816499098491,1.3557923750538365
8,10,66,1.7639692026879235,1.3508326223249536
4,10,70,1.8438637443968533,1.4536217750477982
6,10,70,1.850161954539385,1.4484726796833725
8,10,70,1.8565217486773542,1.4433851683143843
4,10,74,1.9369097784242646,1.5466678090752095
6,10,74,1.9430891025562775,1.541399827700265
8,10,74,1.9493293927804765,1.5361928124175066
4,10,78,2.0301670879548377,1.6399251186057826
6,10,78,2.0362349337835415,1.6345456589275291
8,10,78,2.0423631239296847,1.6292265435667148
4,11,11,0.5463647283431508,0.15612275899409567
6,11,11,0.556431893832461,0.1547426189764486
8,11,11,0.5665396511579553,0.1534030707949855
4,11,15,0.6221494998149552,0.23190753046590007
6,11,15,0.6317274699876423,0.23003819513162982
8,11,15,0.6413549913882628,0.22821841102529294
4,11,19,0.7021949817750429,0.31195301242598783
6,11,19,0.7113377713133283,0.30964849645731585
8,11,19,0.7205360968707124,0.30739951650774255
4,11,23,0.7852053808208234,0.3949634114717683
6,11,23,0.7939634450800228,0.39227417022401034
8,11,23,0.8027809453619353,0.3896443649989655
4,11,27,0.8703746388391577,0.4801326694901026
6,11,27,0.8787920952154401,0.47710282035942764
8,11,27,0.8872714600698908,0.4741348797069209
4,11,31,0.9571717053867603,0.5669297360377052
6,11,31,0.9652862444430496,0.5635969695870371
8,11,31,0.9734641896316159,0.560327609268646
4,11,35,1.0452310222838355,0.6549890529347804
6,11,35,1.0530746345405906,0.6513853596845781
8,11,35,1.0609824819348932,0.6478459015719233
4,11,39,1.134291933285815,0.7440499639367599
6,11,39,1.1418917931599921,0.7402025183039797
8,11,39,1.1495562556335286,0.7364196752705587
4,11,43,1.2241630938710035,0.8339211245219484
6,11,43,1.2315423810232051,0.8298531061671927
8,11,43,1.238986317913575,0.8258497375506051
4,11,47,1.3147005531071987,0.9244585837581436
6,11,47,1.3218791518011095,0.920189876945097
8,11,47,1.3291222243828562,0.9159856440198864
4,11,51,1.4057937192198913,1.0155517498708362
6,11,51,1.4127887932352015,1.011099518379189
8,11,51,1.4198480101472288,1.006711429784259
4,11,55,1.4973560724789596,1.1071141031299045
6,11,55,1.5041825311114059,1.1024932562553933
8,11,55,1.5110726943168757,1.097936113953906
4,11,59,1.5893188431374698,1.1990768737884148
6,11,59,1.5959897173575899,1.1943004425015773
8,11,59,1.6027237845109825,1.1895872041480127
4,11,63,1.6816266003562916,1.2913846310072365
6,11,63,1.6881533467329881,1.2864640718769755
8,11,63,1.6947427254934722,1.2816061451305023
4,11,67,1.774234106968377,1.3839921376193218
6,11,67,1.7806268541212673,1.378937579265255
8,11,67,1.7870816418286946,1.3739450614657247
4,11,71,1.8671040332304782,1.4768620638814232
6,11,71,1.8733717826893985,1.471682507833386
8,11,71,1.8797009623926806,1.4665643820297107
4,11,75,1.9602052661268456,1.5699632967777906
6,11,75,1.9663560569772873,1.5646667821212747
8,11,75,1.9725676586006595,1.5594310782376897
4,11,79,2.0535116395967745,1.6632696702477194
6,11,79,2.0595526842592986,1.6578634094032862
8,11,79,2.065653917853389,1.6525173374904192
4,11,83,2.147000967462069,1.7567589981130138
6,11,83,2.152938764352261,1.7512494894962485
8,11,83,2.158936130901884,1.7457995505389143
4,11,87,2.2406542974795016,1.8504123281304465
6,11,87,2.246494725049478,1.8448054501934656
8,11,87,2.2523941091488457,1.839257528785876
4,12,12,0.564811579461656,0.17456961011260097
6,12,12,0.5747514603809633,0.17306218552495078
8,12,12,0.5847345069443547,0.17159792658138484
4,12,16,0.6418234615115157,0.2515814921624606
6,12,16,0.6512876185716001,0.24959834371558764
8,12,16,0.6608030635221269,0.24766648315915707
4,12,20,0.7227072851982947,0.33246531584923966
6,12,20,0.7317493944364615,0.330060119580449
8,12,20,0.7408481804461993,0.3277116000832294
4,12,24,0.8063196634866036,0.41607769413754847
6,12,24,0.8149886992592545,0.4132994244032421
8,12,24,0.823717902275964,0.4105813219129941
4,12,28,0.891937821170698,0.5016958518216429
6,12,28,0.900276252288886,0.4985869774328735
8,12,28,0.9086770436416841,0.49554046327871426
4,12,32,0.9790798360091018,0.5888378666600467
6,12,32,0.9871238473994994,0.585434572543487
8,12,32,0.9952315253784357,0.5820949450154659
4,12,36,1.0674108050319675,0.6771688356829124
6,12,36,1.0751911008058586,0.6735018259498461
8,12,36,1.0830357604121523,0.6698991800491825
4,12,40,1.1566900663786959,0.7664480970296408
6,12,40,1.16423274966264,0.7625434748066274
8,12,40,1.1718400729412406,0.7587034925782707
4,12,44,1.2467397987754767,0.8564978294264216
6,12,44,1.2540671648531627,0.8523778899971503
8,12,44,1.2614591545440788,0.8483225741811089
4,12,48,1.3374254812425743,0.9471835118935192
6,12,48,1.3445566849344557,0.9428674100784432
8,12,48,1.351752292157932,0.9386157117949621
4,12,52,1.4286432715336401,1.038401302184585
6,12,52,1.4355948731440644,1.0339055982880518
8,12,52,1.4426105166062595,1.0294739362432896
4,12,56,1.5203115913944452,1.13006962204539
6,12,56,1.527097998475309,1.1254087236192967
8,12,56,1.533947988000666,1.120811407637696
4,12,60,1.612365361143631,1.222123391794576
6,12,60,1.6189991850463648,1.2173099101903522
8,12,60,1.6256960655433197,1.2125594851803498
4,12,64,1.7047519540714158,1.3145099847223607
6,12,64,1.7112442982357932,1.3095550233797808
8,12,64,1.7177991291887167,1.3046625488257468
4,12,68,1.7974282972659914,1.4071863279169363
6,12,68,1.8037889912662468,1.4020997164102345
8,12,68,1.8102115745610534,1.3970749941980836
4,12,72,1.8903587547640608,1.5001167854150057
6,12,72,1.896596545322874,1.4949072704668613
8,12,72,1.902895611814568,1.489759031451598
4,12,76,1.9835135558215564,1.5932715864725013
6,12,76,1.9896362636194709,1.5879469887634583
8,12,76,1.9958196267318637,1.582683046368894
4,12,80,2.076867610201103,1.686625640852048
6,12,80,2.0828822593914786,1.6811929845354663
8,12,80,2.088956942294713,1.675820361931743
4,12,84,2.1703996029100554,1.7801576335610003
6,12,84,2.176312528744368,1.7746232538883557
8,12,84,2.1822848702647573,1.7691482899017874
4,12,88,2.2640912938356306,1.8738493244865755
6,12,88,2.2699082326355056,1.8682189577794932
8,12,88,2.275783975960126,1.8626473955971563
4,12,92,2.3579269697260488,1.9676850003769937
6,12,92,2.363653134535262,1.9619638596792495
8,12,92,2.3694375019222544,1.9563009215592846
4,12,96,2.4518930109012462,2.0616510415521914
6,12,96,2.457533155452876,2.0558438805968637
8,12,96,2.4632309114957733,2.0500943311328035
4,13,13,0.5836145117129877,0.19337254236393264
6,13,13,0.5934303683741671,0.1917410935181546
8,13,13,0.603291731232535,0.19015515086956514
4,13,17,0.6617357886435266,0.2714938192944715
6,13,17,0.6710895197557453,0.2694002448997328
8,13,17,0.6804961055626749,0.2673595251997051
4,13,21,0.7433881812253209,0.3531462118762658
6,13,21,0.7523326776607578,0.3506434028047454
8,13,21,0.7613348741736146,0.3481982938106447
4,13,25,0.8275581805494406,0.43731621120038555
6,13,25,0.8361408402717965,0.434451565415784
8,13,25,0.844784318295495,0.4316477379325252
4,13,29,0.9135955508665291,0.523353581517474
6,13,29,0.9218572140904654,0.5201679392344529
8,13,29,0.9301816345315809,0.517045054168611
4,13,33,1.0010618288996032,0.6108198595505481
6,13,33,1.0090372272488848,0.6073479523928723
8,13,33,1.017076515001485,0.6039399346385153
4,13,37,1.0896495563926851,0.69940758704363
6,13,37,1.0973681632383347,0.6956788883823223
8,13,37,1.1051512365776524,0.6920146562146825
4,13,41,1.1791361467106727,0.7888941773616176
6,13,41,1.1866230436063467,0.7849337687503343
8,13,41,1.1941745997975393,0.7810380194345694
4,13,45,1.2693561033475311,0.879114133998476
6,13,45,1.2766327428732416,0.8749434680172291
8,13,45,1.2839739672837913,0.8708373869208215
4,13,49,1.36018355904382,0.969941589694765
6,13,49,1.367268400608115,0.9655791257521026
8,13,49,1.374417566585118,0.9612809862221481
4,13,53,1.4515209024538756,1.0612789331048205
6,13,53,1.458429930401357,1.0567406555453447
8,13,53,1.4654028931080008,1.052266312745031
4,13,57,1.5432911408368073,1.1530491714877522
6,13,57,1.550038283176855,1.1483490083208427
8,13,57,1.5568488817223771,1.1437123013594073
4,13,61,1.635432634438021,1.245190665088966
6,13,61,1.6420301008526876,1.2403408259966753
8,13,61,1.6486904848051847,1.2355539044422148
4,13,65,1.7278953812065756,1.3376534118575205
6,13,65,1.7343539365799463,1.3326646617239337
8,13,65,1.7408748314374778,1.327738251074508
4,13,69,1.8206383413118543,1.4303963719627992
6,13,69,1.8269675280683577,1.4252782532123454
8,13,69,1.833358451883141,1.420221871520171
4,13,73,1.9136274750918971,1.523385505742842
6,13,73,1.9198357949141693,1.5181465200581568
8,13,73,1.9261052359155522,1.5129686555525823
4,13,77,2.0068342805442136,1.6165923111951586
6,13,77,2.0129293437763587,1.6112400689203463
8,13,77,2.0190849068113472,1.6059483264483774
4,13,81,2.100234687033106,1.7099927176840508
6,13,81,2.1062233362673495,1.7045340614113371
8,13,81,2.112271864225283,1.6991352838623133
4,13,85,2.1938082072308918,1.8035662378818367
6,13,85,2.1996966201617054,1.798007345305693
8,13,85,2.2056442952388746,1.7925077148759048
4,13,89,2.2875372790848476,1.8972953097357925
6,13,89,2.293331054618848,1.8916417797628355
8,13,89,2.299183483252239,1.886046902889269
4,13,93,2.381406749539884,1.991164780190829
6,13,93,2.3871109803030657,1.9854217054470533
8,13,93,2.3928732648026414,1.9797366844396715
4,13,97,2.475403465338949,2.085161495989894
6,13,97,2.481022799068117,2.0793335242121045
8,13,97,2.4866995983546296,2.0735630179916598
4,13,101,2.569515945641559,2.179273976292504
6,13,101,2.575054637439236,2.1733653625832234
8,13,101,2.5806502188093905,2.1675136384464206
4,14,14,0.6027375131297715,0.21249554378071644
6,14,14,0.6124327168859947,0.2107434420299822
8,14,14,0.6221755499663213,0.20903896960335144
4,14,18,0.6818657347333332,0.29162376538427814
6,14,18,0.6911123687274239,0.2894230938714114
8,14,18,0.7004132689211798,0.28727668855821
4,14,22,0.7642247437344131,0.373982774385358
6,14,22,0.7730745932382377,0.3713853183822252
8,14,22,0.781983059328238,0.3688464789652681
4,14,26,0.848912415106658,0.45867044575760296
6,14,26,0.857411248495716,0.45572197363970357
8,14,26,0.8659714783879722,0.4528348980250023
4,14,30,0.9353419681021317,0.5450999987530766
6,14,30,0.9435290297987406,0.5418397549427282
8,14,30,0.951779195854769,0.5386426154917991
4,14,34,1.0231135089879422,0.6328715396388871
6,14,34,1.0310221320890165,0.629332857233004
8,14,34,1.0389948331009036,0.6258582527379337
4,14,38,1.1119442141835139,0.7217022448344588
6,14,38,1.119602695963678,0.7179134211076655
8,14,38,1.1273257231372478,0.7141891427742779
4,14,42,1.2016278726602618,0.8113859033112067
6,14,42,1.2090603208574717,0.8073710460014593
8,14,42,1.2165574311218552,0.8034208507588854
4,14,46,1.2920102409430132,0.9017682715939581
6,14,46,1.2992373051124377,0.8975480302564253
8,14,46,1.306528903925507,0.8933923235625372
4,14,50,1.3829734056182594,0.9927314362692043
6,14,50,1.390012882044115,0.9883236071881026
8,14,50,1.3971165957694065,0.9839800154064366
4,14,54,1.4744255153076775,1.0841835459586224
6,14,54,1.4812928384528155,1.079603563596803
8,14,54,1.4882239837633406,1.0750874034003708
4,14,58,1.566293837554044,1.176051868204989
