local_bsz,step_time,sync_time,placement,num_nodes,num_replicas
8,0.1585012525320053,0.0217642238140106,47,2,11
11,0.1689295321702957,0.0201718399524688,47,2,11
12,0.1731267422437667,0.0194405119419097,47,2,11
4,0.1558547616004943,0.0306256004571914,48,2,12
6,0.1556540131568908,0.0327549439668655,48,2,12
8,0.1631448864936828,0.028061888217926,48,2,12
11,0.1719571650028228,0.0235678076744079,48,2,12
12,0.1767754554748535,0.0219374079704284,48,2,12
4,0.1407996565103531,0.0188682879209518,5,1,5
6,0.1425493657588958,0.0187470082044601,5,1,5
8,0.1523144096136093,0.0173966720104217,5,1,5
11,0.1645784378051757,0.0173862400054931,5,1,5
12,0.1708112508058548,0.017239679813385,5,1,5
4,0.1417210847139358,0.0262304000854492,55,2,10
6,0.1460272818803787,0.0233912321329116,55,2,10
8,0.1542185544967651,0.0207102079391479,55,2,10
11,0.1655093133449554,0.0187436161041259,55,2,10
12,0.1714969873428344,0.0189262081384658,55,2,10
4,0.1502336859703064,0.0344788480997085,56,2,11
6,0.1538294851779937,0.0301558398008346,56,2,11
8,0.1594254225492477,0.0258369920253753,56,2,11
11,0.172914445400238,0.0235419518947601,56,2,11
12,0.1764030307531356,0.0221281280517578,56,2,11
4,0.1531903743743896,0.0344162559509277,57,2,12
6,0.1558597236871719,0.0285303680896759,57,2,12
8,0.1630401015281677,0.0258442239761352,57,2,12
11,0.1701867431402206,0.0213869441747665,57,2,12
12,0.1766922026872635,0.0215127680301666,57,2,12
4,0.1522113531827926,0.0328961921930313,58,2,13
6,0.1576930731534958,0.0321188479661941,58,2,13
8,0.1620036214590072,0.0266677758693695,58,2,13
11,0.1729793846607208,0.0244888957738876,58,2,13
12,0.1768368929624557,0.0219726719856262,58,2,13
4,0.1490761935710907,0.0321535997390747,6,1,6
6,0.1511105746030807,0.0282295039892196,6,1,6
8,0.1568983346223831,0.0246025599241256,6,1,6
11,0.1678672581911087,0.0218097919225692,6,1,6
12,0.1736684888601303,0.0210165121555328,6,1,6
4,0.1519025564193725,0.0275504640340805,66,2,12
6,0.1618118435144424,0.0273937921524047,66,2,12
8,0.1608963012695312,0.0261018878221511,66,2,12
11,0.1716603338718414,0.0218132480382919,66,2,12
12,0.1761593073606491,0.0217824639081954,66,2,12
4,0.1557504832744598,0.0408361604213714,67,2,13
6,0.1578304022550583,0.0330676484107971,67,2,13
8,0.1624541878700256,0.0293774716854095,67,2,13
11,0.1745933145284652,0.0289309436082839,67,2,13
12,0.1814131885766983,0.0243958401679992,67,2,13
4,0.1501864939928054,0.0352193921804428,68,2,14
6,0.1528621017932891,0.0293913598060607,68,2,14
8,0.1613358408212661,0.0277567999362945,68,2,14
11,0.1706742942333221,0.0225390079021453,68,2,14
12,0.175888106226921,0.0210307202339172,68,2,14
4,0.1449456959962844,0.0286135041713714,7,1,7
6,0.1481111049652099,0.0234565117359161,7,1,7
8,0.157760664820671,0.0218823679685592,7,1,7
11,0.1666453033685684,0.0191406717300415,7,1,7
12,0.1729515641927719,0.0192058880329132,7,1,7
4,0.1549456864595413,0.036454272031784,77,2,14
6,0.1579187512397766,0.0316446080207824,77,2,14
8,0.1630270332098007,0.0270916482210159,77,2,14
11,0.1711961925029754,0.0219520640373229,77,2,14
12,0.1772688627243042,0.0218637442588806,77,2,14
4,0.1538840681314468,0.0335800318717956,78,2,15
6,0.1565302610397339,0.0290311678647994,78,2,15
8,0.1611940860748291,0.0252288640737533,78,2,15
11,0.1728814244270324,0.0235027199983596,78,2,15
12,0.1767226010560989,0.0212025599479675,78,2,15
4,0.1467273533344268,0.0314562562704086,8,1,8
6,0.1485749781131744,0.0257692799568176,8,1,8
8,0.1559542417526245,0.0229034241437912,8,1,8
11,0.167246475815773,0.0212344958782196,8,1,8
12,0.173038050532341,0.0196983039379119,8,1,8
4,0.1545726060867309,0.0347288959026336,88,2,16
6,0.1572476774454116,0.0331197440624237,88,2,16
8,0.1653000712394714,0.0309275521039962,88,2,16
11,0.174143448472023,0.0262331519126892,88,2,16
12,0.178270474076271,0.0239175677299499,88,2,16
